app,year,region,country,downloads,revenue_usd,rpd
brawl,Y2,LATAM,BR,8804342,7643807,0.8682
brawl,Y2,LATAM,MX,3493862,3446305,0.9864
brawl,Y2,LATAM,PE,1135804,845575,0.7445
brawl,Y2,LATAM,CO,1083781,321879,0.297
brawl,Y2,LATAM,CL,1200734,2171115,1.8082
brawl,Y2,LATAM,AR,1919483,619704,0.3228
brawl,Y3,SEA,ID,951884,399741,0.4199
brawl,Y3,SEA,VN,0,0,0
brawl,Y3,SEA,TH,378690,276613,0.7304
brawl,Y3,SEA,MY,353829,589219,1.6653
brawl,Y3,SEA,PH,544232,187144,0.3439
brawl,Y3,MENA,IQ,0,0,0
brawl,Y3,MENA,SA,1538145,2296473,1.493
brawl,Y3,MENA,DZ,230294,7705,0.0335
brawl,Y3,MENA,EG,393556,121194,0.3079
brawl,Y3,MENA,MA,0,0,0
brawl,Y3,LATAM,BR,6878288,6484618,0.9428
brawl,Y3,LATAM,MX,2933832,4741669,1.6162
brawl,Y3,LATAM,PE,1122983,1048166,0.9334
brawl,Y3,LATAM,CO,877158,468956,0.5346
brawl,Y3,LATAM,CL,866965,3852266,4.4434
brawl,Y3,LATAM,AR,1479208,621420,0.4201
