"app","year","region","country","country_name","downloads","revenue_usd","rpd","downloads_M","revenue_M"
"Arena of Valor","2025","东南亚","ID","印尼","711087","25326","0.04","0.711","0.025"
"Arena of Valor","2025","东南亚","VN","越南","10957434","4893941","0.45","10.957","4.894"
"Arena of Valor","2025","东南亚","TH","泰国","5558872","15619807","2.81","5.559","15.62"
"Arena of Valor","2025","东南亚","MY","马来西亚","84650","51122","0.6","0.085","0.051"
"Arena of Valor","2025","东南亚","PH","菲律宾","180892","9548","0.05","0.181","0.01"
"Arena of Valor","2025","中东","IQ","伊拉克","10649","858","0.08","0.011","0.001"
"Arena of Valor","2025","中东","SA","沙特阿拉伯","2400","2507","1.04","0.002","0.003"
"Arena of Valor","2025","中东","DZ","阿尔及利亚","448","2","0.01","0","0"
"Arena of Valor","2025","中东","EG","埃及","7904","193","0.02","0.008","0"
"Arena of Valor","2025","中东","MA","摩洛哥","189","272","1.44","0","0"
"Arena of Valor","2025","拉美","BR","巴西","46825","38840","0.83","0.047","0.039"
"Arena of Valor","2025","拉美","MX","墨西哥","1874","17818","9.51","0.002","0.018"
"Arena of Valor","2025","拉美","PE","秘鲁","16526","8969","0.54","0.017","0.009"
"Arena of Valor","2025","拉美","CO","哥伦比亚","1897","5550","2.93","0.002","0.006"
"Arena of Valor","2025","拉美","CL","智利","1926","9284","4.82","0.002","0.009"
"Arena of Valor","2025","拉美","AR","阿根廷","3748","3695","0.99","0.004","0.004"
